title,picture,author,synopsis,classement,language,genre,link_fanfic
Nobody Kissed You,/static/images/d_60_90.jpg,Nobody Kissed You,"There was nothing between them, never will be. [Stony/Steve x Tony] #Marvel Ultimates, #Hurt Steve Rogers, #Steve Rogers Needs a Hug, #Unrequited Love, #Pining Steve Rogers, #Oblivious Tony Stark, #Drabble",Rated: K , English , Angst ,/s/13978439/1/Nobody-Kissed-You
The Mechanical Mayhem,/static/images/d_60_90.jpg,TheMechOfMayhem,"After Captain America fell into the ice, and any hope of retrieving Dr. Erskine's formula was lost, many sought out to recreate the famed formula. But one scientist, Dr. James Mondall, has been removed from the history books altogether, from the history books altogether, for his creation of a monster found in only the deepest of the S.H.I.E.L.D Files, The Mechanical Mayhem.",Rated: K+ , English , Sci,/s/13978432/1/The-Mechanical-Mayhem
Debts Paid in Full,/static/images/d_60_90.jpg,Debts Paid in Full,"Lord Stone approaches Tony at one of his parties. [Stony/Steve x Tony] #Marvel Ultimates, #Past Tony Stark/Tiberius Stone, #Loss of Virginity(?)... Implied/Referenced, #Lies, #Hurt Tony Stark, #Tiberius Stone is a lair and a creep, #King Tony Stark, #Royalty AU, #Tony Stark Needs a Hug, #Double Drabble",Rated: T , English , Angst ,/s/13978431/1/Debts-Paid-in-Full
Different From What You Remember,/static/images/d_60_90.jpg,Different From What You Remember,"Basically a retelling of the movie ""Venom"" but with a different main character. Who just so happens to be friends with Peter Parker. (This take place before ""Far From Home"", with Tom Holland's Peter Parker.)",Rated: T , English , Adventure/Romance ,/s/14036565/1/Different-From-What-You-Remember
That's Not My Name,/static/images/d_60_90.jpg,ghost.the.decisive.poltergeist,Irondad and Spideyson oneshot. Peter Parker comes out as transgender to Mr. Stark (Ftm),Rated: T , English , Hurt/Comfort/Family ,/s/14035232/1/That-s-Not-My-Name
The Handbook of Marvelous Characters,/static/images/d_60_90.jpg,The Handbook of Marvelous Characters,Take a look at Earth-626 and the whole universe of characters therein.,Rated: K+ , English , Chapters: 16 ,/s/13448461/1/The-Handbook-of-Marvelous-Characters
Until the end (a Winter Soldier Fanfic),/static/images/d_60_90.jpg,BohemianWallFlower,"Tamara Johnson is a woman with many secrets, living in 1940's America, New York, her life was nothing but supporting her father, working double shifts and just trying to survive until Bucky walked into her life; with his flirtatious looks, crooked smile and clear blue eyes, she couldn't help but fall even if it was a crime.",Rated: T , English , Adventure/Romance ,/s/13977866/1/Until-the-end-a-Winter-Soldier-Fanfic
Incredible Hulk 2043 Volume 1,/static/images/d_60_90.jpg,Incredible Hulk 2043 Volume 1,"Scientist Lucas Banner, son of Bruce Banner and Betty Ross, has found himself wrestling with life as the new Hulk. The psychological toll has pushed him to desperately seek a cure, but Banner will quickly find that the world of gamma radiation is one that you can't simply escape from. The third installment in the Marvel 2043 series.",Rated: T , English , Drama/Adventure ,/s/14027624/1/Incredible-Hulk-2043-Volume-1
Marvel: The Bargain,/static/images/d_60_90.jpg,TheNovelNovelist,"Val and Angelica, both with unresolved pasts, now must work through an undetermined future after an alien invasion threatens their home and lives.",Rated: T , English , Chapters: 1 ,/s/14032520/1/Marvel-The-Bargain
Nighthawk: Vengeance is Mine,/static/images/d_60_90.jpg,Malganis84,"The darkest streets of Cosmopolis are protected by a vengeful guardian: Nighthawk! By day the loyal scion of a wealthy family, by night a newly-minted vigilante, Nighthawk works tirelessly to dismantle his father's corrupt empire. Charging forward after a major victory against his father, Nighthawk faces the choice of what his mantle will mean to the city of Cosmpolis, and whether",Rated: T , English , Suspense/Adventure ,/s/14020378/1/Nighthawk-Vengeance-is-Mine
Dreams of Mischief chapter 1,/static/images/d_60_90.jpg,StarPhoenix 12,"Assi Kapral lived an ordinary life, until she moves to Norway and literally bumps into The God of Mischief. Loki X OC. Thor X Lady Sif. Jane X Thor",Rated: T , English , Romance/Drama ,/s/14019414/1/Dreams-of-Mischief-chapter-1
Avengers: Ultimate Alliance,/static/images/d_60_90.jpg,Nintendoman01,"My personal Marvel Universe and take on the Avengers mythos, set in the same verse as Chronicles of Spider-Man.",Rated: T , English , Adventure/Crime ,/s/14027890/1/Avengers-Ultimate-Alliance
A Light in the Dark (Bucky Barnes),/static/images/d_60_90.jpg,A Light in the Dark (Bucky Barnes),"Anna Gregory was a captive of HYDRA, one of their little experiments. She has the ability to morph into any person she's seen, and they've used that power for their own devices. When a certain Winter Soldier saves her and brings her to the Avengers Compound, he shows her that humanity still has some goodness left in them.",Rated: T , English , Romance/Adventure ,/s/13772053/1/A-Light-in-the-Dark-Bucky-Barnes
51 Stars: A Marvel Event (Part 2 of 4),/static/images/d_60_90.jpg,PhantomMedia,"In this second installment of the HIGHLY acclaimed series… Someone is found dead with shield marks. Jimmy Wu and Howard the Duck are on the job. Until there not. Steve Rogers gets abducted by U.S Agent. And now, the Kingpin is involved. And a Spiderman from another universe. And don’t forget S.H.I.E.L.D! (Part 2 of 4)",Rated: T , English , Adventure ,/s/14027633/1/51-Stars-A-Marvel-Event-Part-2-of-4
51 Stars: A Marvel Story (Part 1 of 4),/static/images/d_60_90.jpg,PhantomMedia,"A body is found with cuts that resemble those that a shield could inflict on someone or something. All eyes turn to America’s “Star Spangled Man”, the one and only Steve Rogers. That is, until he is reported missing. But worry not! Detective Howard the Duck and Agent Jimmy Wu will make a last attempt to save the day. At least, they’ll try. (Part 1 of 4)",Rated: T , English , Adventure/Mystery ,/s/14026080/1/51-Stars-A-Marvel-Story-Part-1-of-4
A New Beginning… A Second Chance… Taken Away…,/static/images/d_60_90.jpg,LionsRoutine101,"In the few years before Krakoa’s rise, Hank McCoy’s hubris started clouding his mind and warping his judgment. In the pages of X-Force, that hubris is at its worst. However, is Hank’s behavior in X-Force the result of his hubris overwhelming him once again?… Or something else? *Starts at the celebration in House of X #6 and ends right before Xavier’s assassination by XENO.",Rated: T , English , Drama/Tragedy ,/s/14026035/1/A-New-Beginning-A-Second-Chance-Taken-Away
Power Man & Iron Fist,/static/images/d_60_90.jpg,David Golightly,"A follow-up to my Heroes For Hire stories! Check out Luke Cage & Danny Rand as they square off against John Aman, Batroc, Dreadknight, and many more shadowy villains! This is part of our shared fanfic universe at Marvel 2000.",Rated: T , English , Adventure/Fantasy ,/s/12204762/1/Power-Man-Iron-Fist
The Osborn Twins: A MCU Tale,/static/images/d_60_90.jpg,Tyrik Kage,"Within the Vase Multiverse, this is a world where Oscorp's newest CEOs, the adopted children of Norman Osborn, have taken control of the company. Yet this world has its own unique twists and surprises. After All, The Multiverse is anything but predictable. A Collaboration with Rothem.",Rated: T , English , Adventure ,/s/13962107/1/The-Osborn-Twins-A-MCU-Tale
The Osborn Twin: A MCU Tale,/static/images/d_60_90.jpg,Tyrik and Rothem's Writing Inc,"Within the Vase Multiverse, this is a world where Oscorp's newest CEOs, the adopted children of Norman Osborn, have taken control of the company. Yet this world has its own unique twists and surprises. After All, The Multiverse is anything but predictable.",Rated: T , English , Adventure/Humor ,/s/13965108/1/The-Osborn-Twin-A-MCU-Tale
Captain America 2043 Volume 1,/static/images/d_60_90.jpg,Captain America 2043 Volume 1,"In the year 2043, there are many new-age heroes such as Eliot Lang, the Ant-Man...but what of a certain patriotic super soldier? In this alternate future, Captain America is none other than James Rogers, son of Steve Rogers and Sharon Carter. The second installment in my 2043 series, taking place after the events of Ant-Man 2043 Volume 1.",Rated: T , English , Adventure/Drama ,/s/13978396/1/Captain-America-2043-Volume-1
Earth-647: Fantastic Four,/static/images/d_60_90.jpg,Earth-647: Fantastic Four,Earth-647: Fantastic Four. Takes place in my Earth-647 universe. The official Earth-647 forum link is on my profile.,Rated: T , English , Sci,/s/14022495/1/Earth-647-Fantastic-Four
Lost & Found An Avengers OC fanfiction,/static/images/d_60_90.jpg,Lost & Found An Avengers OC fanfiction,"Violet never knew her parents. She grew up alone, mostly. She bounced around the foster care system, until she landed at the Avengers tower. Living there, she finds something that could change her life forever.",Rated: T , English , Adventure/Romance ,/s/14022281/1/Lost-Found-An-Avengers-OC-fanfiction
One for the Team: Sequel to Lost and Found,/static/images/d_60_90.jpg,One for the Team: Sequel to Lost and Found,"Three years have gone by since Violet Stark and her dad, Tony Stark, came home to New York after the Avengers split up. Natasha, Steve, and Sam are on the run. Scott Lang is under house arrest and the Maximoff twins are in hiding. But something, or someone, is coming. And whoever it is isn't here for V's 19th birthday party...",Rated: T , English , Adventure/Romance ,/s/14022296/1/One-for-the-Team-Sequel-to-Lost-and-Found
Earth-647: Union Jack and the Liberty Legion,/static/images/d_60_90.jpg,HexBolt0505,"Earth-647: Union Jack and the Liberty Legion. Set in WWII, various other wars, and the present day. Takes place in my Earth-647 universe. The official Earth-647 forum link is on my profile.",Rated: T , English , Sci,/s/14021675/1/Earth-647-Union-Jack-and-the-Liberty-Legion
A Universe of Marvels: The Golden Age,/static/images/d_60_90.jpg,Marco Incognito,"Hello and Welcome to A Universe of Marvels. This is an idea I had for awhile now that I'm now implementing. This Timeline will focus on a Marvel Universe which ages in real time, something touched upon in a few Marvel Comics realities. This is will be quite a bit different as History itself changes the further the timeline goes on. Elements of the MCU and other media are included.",Rated: T , English , Chapters: 26 ,/s/13752212/1/A-Universe-of-Marvels-The-Golden-Age
Marvel Heroes,/static/images/d_60_90.jpg,s10127470,"They're strong! They're smart! They're brave! They're the Marvel Heroes! Ready for action and adventure! Whether it be aliens from another world, mutant terrorists, monsters from the deep, or annoying brothers, the Marvel Heroes will always be there to protect Earth from any threat that comes it's way!",Rated: K+ , English , Adventure/Humor ,/s/14015655/1/Marvel-Heroes
"Before There Was Childhood, There Were Victims",/static/images/d_60_90.jpg,ArouraLeona,"Born almost a century apart, Bucky Barnes and Clint Barton were both raised on values that ignored the modern understanding of ""childhood"". Raised by abusive fathers and then passed on to abusive handlers and trainers, neither Barnes nor Barton knew care over the course of their lives. After breaking free, their pasts reach out once more leading them to meet, and possibly, to heal",Rated: T , English , Drama/Angst ,/s/14008397/1/Before-There-Was-Childhood-There-Were-Victims
This is New,/static/images/d_60_90.jpg,Dustbunny3,[Academy X][Drabble][Gen] Laurie and Sofia's first night as roommates.,Rated: K , English , Friendship ,/s/14014891/1/This-is-New
If I Should Die In Battle,/static/images/d_60_90.jpg,If I Should Die In Battle,"Steve's would stutters to a stop when he hears those two words. [Stony/Steve x Tony] #Marvel Ultimates, #Major Character Death, #Grief/Mourning, #Shock, #Steve Rogers Needs a Hug, #Hurt Steve Rogers, #Hurt No Comfort, #Drabble",Rated: K+ , English , Angst/Hurt/Comfort ,/s/13978426/1/If-I-Should-Die-In-Battle
Wishing You Were Here Again,/static/images/d_60_90.jpg,Wishing You Were Here Again,"His memory lingers on his his mind, breaking what's left of his heart [Stony/Steve x Tony] #Marvel Ultimates, #Major Character Death, #Grief/Mourning, #Hurt No Comfort, #Hurt Steve Rogers, #Steve Rogers Needs a Hug, #Artist Steve Rogers, #Pining Steve Rogers, #Hallucinations, #Angst, #Drabble",Rated: K , English , Angst/Hurt/Comfort ,/s/13978397/1/Wishing-You-Were-Here-Again
Taken from Me,/static/images/d_60_90.jpg,DepressingGreenie,"Steve dies in battle, leaving nothing left for Tony. [Stony/Steve x Tony] #Marvel Ultimates, #Major Character Death, #Grief/Mourning, #Tony Stark Needs a Hug, #Hurt Tony Stark, #Secret Relationship, #Hurt No Comfort, #Drabble",Rated: K+ , English , Angst ,/s/13978392/1/Taken-from-Me
Again and Again,/static/images/d_60_90.jpg,DepressingGreenie,"He should never have touched that relic. [Stony/Steve x Tony] #Marvel Noir, #Time Loop, #Major Character Death, #Semi Graphic Death, #Blood and Injury, #Hurt Tony Stark, #Tony Stark Needs a Hug, #Drabble",Rated: T , English , Angst/Horror ,/s/13978385/1/Again-and-Again
How To Defeat A Dracula,/static/images/d_60_90.jpg,How To Defeat A Dracula,Squirrel Girl's need to refer to vampires as 'draculas' becomes an issue when she meets an actual vampire. The Unbeatable Squirrel Girl (which isn't a category on this site :( ) Doreen Green.,Rated: K , English , Humor/Supernatural ,/s/13975424/1/How-To-Defeat-A-Dracula
A Broken Legacy,/static/images/d_60_90.jpg,TheLegacy1234,The Presence recruits heroes from across the universes to help save the Multiverse. Part 1: The Multiverse Trilogy.,Rated: T , English , Adventure ,/s/13973231/1/A-Broken-Legacy
Ant-Man 2043 Volume 1,/static/images/d_60_90.jpg,Ant-Man 2043 Volume 1,"The first entry in a line of Marvel stories set in the year 2043. The world has changed as new faces step up to take old mantles. Among them is Eliot Lang, son of Scott Lang and a time-displaced adult Nadia Pym. This is a look into the life of this future's Ant-Man.",Rated: T , English , Adventure/Humor ,/s/13957465/1/Ant-Man-2043-Volume-1
Rising,/static/images/d_60_90.jpg,DJ Dubois,"As What If? 24 ends, Peter Parker is a fugitive. Aunt May's on her way to the hospital. Jonah Jameson is on his latest anti-Spidey crusade. Gwen, Robbie and Flash try to pick up the pieces from a crashed wedding and shattered dreams. But there is more to the story. What if some other heroes stepped in? r and r...(Spidey/Matt Murdock/Dr. Strange with Cap and the FF cameos)",Rated: T , English , Chapters: 17 ,/s/13961995/1/Rising
Meditation System,/static/images/d_60_90.jpg,4lcoholicPanda,"Transmigrated as Grant Ward in prison S2 with Meditation System, Survive MCU that's basically it. This is my first fic, there will be minor mistakes. I wrote this as a beta test for my writings, its one of my most Meh ideas, I didn't expect it to take off like it did. I am posting this on several platforms. Discord[ /cpDWhYEURJ ]",Rated: T , English , Adventure/Fantasy ,/s/13962475/1/Meditation-System
Welcome to Budapest,/static/images/d_60_90.jpg,Welcome to Budapest,Natasha decides that enough is enough and so she tries to escape the Red Room. But along the way she bumps into another guy who's trying to kill her. Will she be able to escape her adversaries or will she find an ally in the process? or the Clint Nat Budapest story no one asked for,Rated: T , English , Adventure/Friendship ,/s/13918228/1/Welcome-to-Budapest
It Is Your Birthright To Bleed - A Shang-Chi Fanfiction,/static/images/d_60_90.jpg,It Is Your Birthright To Bleed - A Shang-Chi Fanfiction,"Shang-Chi has returned home per Wong's recommendation. But just as he starts to settle back into life again...the Rings start speaking to him. And he experiences phantom pain when not wearing them. His reputation is growing, and people start coming for the ones he loves to steal his power. And maybe he should stop deleting Bruce Banner's calls... ",Rated: T , English , Hurt/Comfort/Family ,/s/13964300/1/It-Is-Your-Birthright-To-Bleed-A-Shang-Chi-Fanfiction
marvel what if prompts,/static/images/d_60_90.jpg,theflashladbabyfanfictonwriter,iam working on my own marvel what if series and i need ideas for stories leave prompts in the review section,Rated: K , English , Sci,/s/13963820/1/marvel-what-if-prompts
The Champions Vs Ultron,/static/images/d_60_90.jpg,Mike Marvel Anderson,"When the Champions are on a mission in Alaska, Nadia Van Dyne's brother and Vivian's grandfather, Ultron, comes for them. With their communications down and no help for miles, will they survive the freezing temperatures and Ultron's cold hearted fury?",Rated: T , English , Adventure/Drama ,/s/13963257/1/The-Champions-Vs-Ultron
West Coast Avengers: The Series,/static/images/d_60_90.jpg,junothetaylor,Meet Marvel's Worst Heroes! From a girl who controls squirrels to a man stuck in a frog-suit to a floating eye. Watch as they fight the fights that the Avengers couldn't be bothered to do.,Rated: T , English , Adventure/Humor ,/s/13961978/1/West-Coast-Avengers-The-Series
Wolverine: The son,/static/images/d_60_90.jpg,JammyDodger20002,(Set after Origin II) Inspiration from jamiehernandez8888. Wolverine is constantly having nightmares. What can save him from this endless torture?,Rated: K , English , Mystery/Family ,/s/13960085/1/Wolverine-The-son
Donuts,/static/images/d_60_90.jpg,Donuts,Katy and Xialing get together..by the help of food,Rated: T , English , Romance/Humor ,/s/13959617/1/Donuts
Symbiotic Slurps and Wholy Grains,/static/images/d_60_90.jpg,Symbiotic Slurps and Wholy Grains,"Four symbiotes have come together to try their claws at running a coffee shop. In a town of powered people and aliens, tourists are fresh, constant, and eager to buy a muffin. It's a good business when the employees aren't mucking things up. Soon they will have to compete with a new coffee shop in town. One run by humans. It's a rivalry that will end in the most unexpected of ways.",Rated: T , English , Sci,/s/13888176/1/Symbiotic-Slurps-and-Wholy-Grains
Why did it have to be you,/static/images/d_60_90.jpg,Why did it have to be you,"You have been in a loving relationship with Natasha for 13 years when the two of you go to Vormir to receive the soulstone. Even though you try to stop her, Natasha sacrifices herself in exchange for the stone, and your world falls apart. It doesn't take long before Yelena finds you and blames you for her death. Warning: mention of attempted suicide. ! No happy ending !",Rated: T , English , Hurt/Comfort/Romance ,/s/13955545/1/Why-did-it-have-to-be-you
Tony's Son,/static/images/d_60_90.jpg,Firelizard46,"Tony's life is turned upside down when he gets a call from Doctor Johnson. Now, he has a son that has some health problems. What happens when he is kidnapped and creates the Iron Man suit? How will this impact his life with his son?",Rated: K , English , Family/Hurt/Comfort ,/s/13464387/1/Tony-s-Son
Tony's Son (rewrite),/static/images/d_60_90.jpg,Firelizard46,"Tony's life is turned upside down when he gets a call from Doctor Johnson. Now, he has a son that has some health problems. What happens when he is kidnapped and creates the Iron Man suit? How will this impact his life with his son?",Rated: T , English , Family/Hurt/Comfort ,/s/13951025/1/Tony-s-Son-rewrite
NOW I LAY ME,/static/images/d_60_90.jpg,SupernaturallyEgocentric,All Bucky can do is dream. He's got nothing else left.,Rated: T , English , Drama ,/s/13949529/1/NOW-I-LAY-ME
Mutants on the Run,/static/images/d_60_90.jpg,Mutants on the Run,"New body, new world, new powers. Suddenly being a mutant in Marvels X-Men was too much for me to handle... so I ran away. Ran away and found the family I never knew was there. I don't know what lies in store for me but... I am alive and until that changes I will fight.",Rated: T , English , Adventure ,/s/13947285/1/Mutants-on-the-Run
HawkWidow,/static/images/d_60_90.jpg,devil.cream,One-offs from Hawkeye and Natasha Ramanoff's life,Rated: K+ , English , Adventure/Mystery ,/s/13947034/1/HawkWidow
Straight To You,/static/images/d_60_90.jpg,Straight To You,"Anna May is a runaway orphan. She and her best friend/sidekick/future lover, Wybie, roam the streets of Baton Rouge as thieves. One day they decide to steal a gold pocket watch, thinking it will be a nice addition to their collection of valuable stolen items. What they don't expect is to be attacked by the Avengers directly after.",Rated: T , English , Supernatural/Friendship ,/s/13900349/1/Straight-To-You
Timeless,/static/images/d_60_90.jpg,Nightshade67,"Olivia Rogers is Steve's other, other half in life (platonically) and his little sister. She came out with the healthier genes but, shares some of the same traits as her brother. She follows him into WWII and ends up waking up in 2007. It's up to her to figure out how to adapt and survive in a new time while working for SHIELD. What's happened to her? And...who is that?",Rated: T , English , Adventure/Romance ,/s/13935755/1/Timeless
Sensational Comics 26,/static/images/d_60_90.jpg,D,On a Rampage Against the Reds!,Rated: T , English , Adventure ,/s/13939023/1/Sensational-Comics-26
The New team Cap-end,/static/images/d_60_90.jpg,devil.cream,Sam Wilson and Bucky Barnes forge a new team Cap with Yelena Belova. A sequal to The New team Cap,Rated: K+ , English , Adventure/Humor ,/s/13937455/1/The-New-team-Cap-end
Bewitched,/static/images/d_60_90.jpg,mistyagami,"In the wake of Thor's engagement to Jane Foster and Mary Jane's marriage to John Jameson, Peter and the Enchantress find solace in each other. Will they become something more or will forces drive them apart?",Rated: T , English , Romance/Adventure ,/s/13935851/1/Bewitched
The new team Cap 3,/static/images/d_60_90.jpg,devil.cream,"Sam Wilson forges a new team cap with Bucky Barnes, Yelena Belova. A sequel to the New team Cap.",Rated: K+ , English , Adventure/Humor ,/s/13935701/1/The-new-team-Cap-3
The new team Cap 2,/static/images/d_60_90.jpg,devil.cream,Bucky and Sam's adventure with Yelena A sequal to The new team Cap,Rated: K+ , English , Adventure/Humor ,/s/13935234/1/The-new-team-Cap-2
Juggle & Fit,/static/images/d_60_90.jpg,Juggle & Fit,"Five moments in the delayed love story of James and Nat, steeped in history and memory and evidenced by clothing.",Rated: T , English , Romance/Hurt/Comfort ,/s/13934141/1/Juggle-Fit
Masks and Misery,/static/images/d_60_90.jpg,devil.cream,One-shots from Melina Vostokoff's miserable life. I do not promise a happy ending.,Rated: K , English , Angst/Family ,/s/13933538/1/Masks-and-Misery
Winter Soldiers' Memories,/static/images/d_60_90.jpg,ScarletSunFrost,"Stucky meet one of the subjects of the Winter Soldier program during an infiltration mission, and ho-oh boy, this one has missing limbs too. What will happen to Bucky and Steve when they meet the strongest Soldat from the program?",Rated: T , English , Angst ,/s/13930017/1/Winter-Soldiers-Memories
when worlds collide,/static/images/d_60_90.jpg,genesbolly,Natasha knew her two families would meet at some point. She just never imagined how hectic it would be.,Rated: T , English , Humor/Family ,/s/13928776/1/when-worlds-collide
Heroes & Monsters (Steve Rogers's Grandson X Male OC),/static/images/d_60_90.jpg,Ecaille14,"They saw magic as a science, Mephisto called it business. Sam is a young man who lost his faith in magic. He is no fan of superheroes, but when Mephisto's children threaten his family and the world, he is forced to team up with one. They said that monsters are tragic beings born in the wrong world. If this is the case, then, Sam, Bo Peep, everyone... are all monsters.",Rated: T , English , Horror/Humor ,/s/13923753/1/Heroes-Monsters-Steve-Rogers-s-Grandson-X-Male-OC
Asleep (Thor Oneshot),/static/images/d_60_90.jpg,ChriSassy,"Two years after the Snap, Thor is struggling with his depression and PTSD. TW for suicide ideation, alcoholism.",Rated: T , English , Angst/Tragedy ,/s/13924210/1/Asleep-Thor-Oneshot
